title,company,location,link
"응용프로그램개발( 파이썬,C#,임베디드), IoT개발자를 모십니다",도영아이씨티,충북,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37917946&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬 장고 웹 백엔드 개발자 채용 (경력 3년 이상),(주)동광사우,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37866674&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬 활용 스마트팜 AI빅데이터 플랫폼 기반 분석응용 API구축,(주)마스팜,전북,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38031277&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬 활용 스마트팜 AI빅데이터 플랫폼 기반 분석응용 API구현,(주)마스팜,전북,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38031302&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[아토머스] 파이썬 웹 개발자 모집 공고,아토머스(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38042816&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"AI, ML 파이썬/자바 개발자 공고(청년채움공제 가능)",(주)데이터에듀,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38016059&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"IT강사님 모집합니다. ( JAVA, 빅데이터, 파이썬 외)",디지털원(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38019523&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"소프트웨어 엔지니어 모집 (Unity, 파이썬, C++ 등 )",㈜아쿠아드론,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38041719&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
인공지능(AI)/Java/Python 정규직 모집 - 각 분야별,㈜지어소프트,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38062190&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
데이터 엔지니어로 성장하고 싶은 Python Backend,(주)라이앤캐처스,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38038723&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020상반기 SAS 빅데이터/DataAnalysis/Python/R 인재 모집,(주)그루넷,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37918030&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"[바이오, 제약] C#, Python, UI 프로그램 개발 신입, 경력 채용",(주)로봇앤드디자인,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37844921&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"프로그래머 채용 (WEB 프로그래밍, PHP, javascript, python)",(주)씨더스,대전,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38038344&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"(月260만원/판교/대기업) 만도 SW검증/C, Python개발 채용",(주)에스텍플러스,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38089721&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"웹개발(백엔드, Python, 프론트엔드 외 2개 부문) 채용",(주)닥터링고,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37861447&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[이커머스 스타트업] 고객분석 데이터분석 모집(Python GA),(주)온누리아이코리아,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38088450&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
20 상반기 솔루션 개발/유지보수(Linux/Java/Python) 경력무관,주식회사 피피티웨어,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37973111&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"자동화사업부 소프트웨어팀(open,C++,Python,영상, 비젼)충원",(주)엠코프,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38054356&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
(인천 송도) Python 및 Unity3d 개발자를 모십니다,(주)그루크리에이티브랩,인천,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38020121&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"응용프로그램 개발자 JAVA, JSP, C/C++, NodeJS, Python",슈어엠(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38063542&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"Python, Django 백엔드 개발자 모집",아이넷캅,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38064242&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
Python Back-end 백엔드 개발자를 모십니다,(주)페칭,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38018208&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
python 개발자분 모집합니다,주식회사 서르,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37872120&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"2020 상반기 빅데이터, 인공지능(AI), Python 경력사원 채용",(주)테너지,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38038194&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
DataAnalysis&머신러닝&Python&R 외 정규직 모집 공고 - 경력,(주)에이아이더,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37985301&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
Python/머신러닝/인공지능(AI) 정규직 채용(신입사원),피에스아이플러스 주식회사,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38040692&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
AI플랫폼 Python-Django Backend Engineer,(주)에이젠글로벌,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38074083&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
인공지능(AI)&Python&머신러닝外 정규직 채용(각 부문별),주식회사 스마디안,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37887697&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020 상반기 Python 경력무관 채용,빅트론(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37971344&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
PHP/REACT/PYTHON/퍼블리셔 경력자 채용,행복쇼핑 주식회사,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38073432&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"유니챌 SW 개발자 모집 (JavaScript, React Native, Python)",유니챌(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38082237&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"Python, 자동제어, C#, MFC 외 정규직 채용 공고 - 인재선발",에스에스티랩,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38028794&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[스테이즈/경력] 웹 개발자 모십니다 (Python/Django/Flask 등),스테이즈,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38092974&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"빅데이터 분석 프리랜서 모집 ( R, Python ) - 3개월",(주)시엠아이코리아,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37935864&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"[경력사원] JAVA, C, Python 개발자 모집",(주)아와소프트,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37872330&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[경력무관] Python/백엔드 계약직 모집합니다,코어닷투데이,울산,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37886678&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[시청역]금융기관 시스템 구축/python/중급/개발/ASAP-2020.12.3,아키테카(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38068372&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[코인빗] 암호화폐거래소 개발팀 Python Django 모집,(주)엑시아,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37949574&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
정규직/계약직/프리랜서 경력 Python 백앤드 개발자 채용,(주)셰어킴,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38016972&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[경력] 웹 개발자(Python/Django) 채용,주식회사 리본소프트,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37931888&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"Python, Django 백엔드 개발자 모집",(주)시큐리온,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38099230&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"[경력] 물류IT 웹서비스 백엔드 개발자 채용 (Python,Django)",알고랩,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38023235&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[개발]Python 백엔드 개발자(정규직),(주)위메프,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38073908&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020년 Java·JSP/Python/머신러닝/R 외 경력 채용,(주)에코브레인,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37928799&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
Python서버 개발자 모집,iMediSync Inc.,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38054881&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
백엔드개발(Python) 경력직 채용,(주)뉴트리션코트,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38068912&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"Python, 인공지능(AI), 머신러닝 정규직 모집(경력무관)",(주)피노맥스,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38098408&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"[일본] Java·JSP, PHP, Ajax, Python 정규직 모집합니다",SEAGILE주식회사,일본,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38081459&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
